Sound,Artificial leather with bamboo weave pattern,Zebra stripe pattern in hard paper,Very fine checks on plastic,Artificial velvet,Decorative chip pattern,Thermocol,Hard sponge,Soft sofa cover material with chipped pattern,Sponge,Pillow cotton,Finer slate,Formal trousers,Slate,Sandpaper,Wood shavings,Fine lines in random quadrilaterals,fine animal skin pattern,Cardboard,Aluminium foil,acrylic
cat lapping milk,0.684210526,0.315789474,1,1.210526316,1,2.736842105,1.526315789,0.578947368,2,1.236842105,0,0.736842105,0.789473684,0,2.105263158,0,0.421052632,0.421052632,0.315789474,0.473684211
Geese cackling,1.473684211,0.421052632,0.368421053,0.894736842,0.578947368,1.842105263,0.263157895,1.631578947,1.421052632,2.105263158,0,1.421052632,0.421052632,1.842105263,1.842105263,0.421052632,0,0.368421053,0.789473684,0.421052632
Insects during day in South,1.210526316,0.894736842,0.684210526,1.368421053,0.789473684,1.473684211,1.526315789,0.947368421,1.368421053,0.842105263,0,1.052631579,1.210526316,1.842105263,1,0.157894737,0.421052632,0.263157895,0.210526316,0.894736842
Horse Buggy,1.578947368,1.578947368,0.736842105,0.578947368,1.421052632,0.947368421,1.789473684,0.736842105,0.368421053,0.368421053,0.789473684,0.315789474,1.210526316,1.684210526,2.947368421,0.368421053,0,0.421052632,0.842105263,0.842105263
Fire in Chimney,2.263157895,0.789473684,0.263157895,0.473684211,2,0.842105263,0.789473684,0,0.842105263,1.105263158,0.263157895,0.736842105,0,2.842105263,3.526315789,1,0.315789474,0.315789474,0.736842105,0.947368421
Wind moaning,1.157894737,0.684210526,0.736842105,0.263157895,1.526315789,1.473684211,0.894736842,1.052631579,1.947368421,2.421052632,0.684210526,0.578947368,0.657894737,0.473684211,0.684210526,0.315789474,0.736842105,0.789473684,0.368421053,1.684210526
Pneumatic drills,1.105263158,0,0,0,1.105263158,0,0,0.052631579,0,0,1.210526316,0.736842105,0.947368421,2.105263158,2.736842105,0,0.315789474,0.263157895,0.368421053,0
Electric adding machine,0.684210526,0.842105263,0.684210526,0.631578947,2.578947368,0.368421053,0.789473684,0,0,0,0.263157895,1.210526316,0.894736842,3.684210526,4.210526316,1.315789474,0.368421053,0.894736842,0.736842105,0.105263158
Radio Static,0.947368421,0.263157895,0.684210526,0.157894737,1.868421053,0,0,0.473684211,0.421052632,0.578947368,0.210526316,2.105263158,0.315789474,3.315789474,2,1.263157895,0.473684211,0.473684211,0.842105263,0.421052632
Jogging on gravel,0.631578947,0,0.842105263,2.210526316,1.473684211,1.631578947,1.052631579,0.894736842,0.631578947,0.315789474,0.789473684,1.631578947,1.421052632,1.315789474,1.894736842,0.263157895,0.315789474,0.578947368,0,0.315789474
Fast Breathing,0.421052632,0.894736842,0.894736842,0.421052632,1.947368421,0.473684211,0.947368421,0.473684211,0.473684211,1,1.210526316,0.263157895,1.105263158,2.631578947,4.052631579,0.473684211,0,0.473684211,0.421052632,0.315789474
Applause,2,0.736842105,0.894736842,1.052631579,0.684210526,1,1.552631579,1.157894737,0.578947368,0,0.368421053,1.236842105,1.105263158,1.157894737,0.368421053,0.473684211,0.526315789,0,1.947368421,0.842105263
Bath being drawn,1,0.473684211,0.736842105,1.026315789,0,1.421052632,1.157894737,1.263157895,2.210526316,1,0.736842105,0,0.631578947,0,0,0.789473684,1.263157895,1.842105263,1.210526316,1.526315789
Bubbling water,0.368421053,0.631578947,1.315789474,0.631578947,0,2.210526316,1.105263158,1.052631579,2.368421053,2.473684211,0,0,0.710526316,0,0.210526316,0.578947368,0.789473684,0.263157895,1.105263158,1.578947368
Surf hitting beach,0.789473684,1,0.684210526,0.736842105,0.421052632,0.736842105,0.421052632,1.578947368,2.263157895,1.894736842,0.710526316,0.789473684,1.263157895,1.947368421,0.315789474,0.578947368,0.421052632,1.052631579,0.368421053,0.631578947
